"","response.id","shape","scale","error","convergence","p10year","p50year","p90year","x10prob","x20prob","x40prob","x50prob"
"602","R_BE6nqpIrPBuumU9",1.12298732479373,91792.5783658994,0.000126663499389868,0,13291.4179892007,74598.2934668871,230654.419421509,3.35076819957395e-05,7.29746849184837e-05,0.000158918715838348,0.000204163799047191
"603","R_BLAD9EQ4O5rI6tP",1.02392589190181,132.183304143093,0.014482564717535,0,14.8887793633782,94.6866689259469,309.833945857878,0.06776511488804,0.132716488239523,0.250695131742736,0.303861988688871
"604","R_BMyVbl9UTzbBupj",11.625541944372,4.48672836347016,0.0197517552717325,0,33.7651583904638,50.6729370629071,72.4739337904596,7.75391841622601e-06,0.00330618555128574,0.221611447486763,0.482077386565046
"605","R_BVwTO7GP7tnL5sd",13.2935292048706,3.87464730135485,0.0566661624593727,0,34.4340646791672,50.2221043988414,70.2379954171113,2.04502071816441e-06,0.00196442877090608,0.214401775918878,0.493625208131437
"606","R_BwVHgPRxezU5gu5",1.12298732479373,91792.5783658994,0.000126663499389868,0,13291.4179892007,74598.2934668871,230654.419421509,3.35076819957395e-05,7.29746849184837e-05,0.000158918715838348,0.000204163799047191
"607","R_CdV208DTkUvHV29",4.95317698640481,11.2444591335214,0.0384348943696513,0,26.982256437394,51.9958269096229,89.2012497247855,0.00242881650998668,0.0368745836103355,0.293210842592629,0.466471547394055
"608","R_Ce6ZY9hTDnXR1kZ",17.5655670439597,4.53777466025839,0.0472488570968949,0,56.5124316424404,78.2012028995843,104.845652017775,7.36408470757334e-11,1.81561229840661e-06,0.00605354027399081,0.0416985485475112
"609","R_CgEx2lPlq5FAR7H",11.6785733224382,5.71392191599179,0.000261049882977324,1,43.2459027079219,64.8357839864522,92.6573746588515,6.49826255723574e-07,0.000437304888289382,0.0654914250410357,0.200114913604989
"610","R_CgHsM6tFkIqqoyl",0.893576042993575,655.061836168379,0.00378699362863647,0,49.4688705674133,386.867011912377,1385.57557664946,0.0246494707984122,0.0454658439748129,0.0832671118031831,0.100920767432075
"611","R_CgHudWWkmCuh21z",4.28523872197774,6.08454762217238,0.0341675919890796,0,11.7864603659977,24.0760200424123,42.9516193117671,0.0618035846155905,0.359179667277525,0.866419073992006,0.951910093820848
"612","R_CkIWVSYkuvxnGRb",8.27046514423997,12.530832140956,0.00627313364219396,0,60.9591532387175,99.4901270430882,151.664088147188,1.05438663493869e-06,0.000161327951578865,0.0125200668114792,0.0402818448625422
"613","R_CmlS64OdafKcGpH",1.01586711727323,923.051931140488,2.96357067239526e-05,0,101.687231988983,653.997179653957,2150.76660474373,0.00996033499055454,0.0200316050018041,0.0400687279829567,0.0499920856948669
"614","R_D2EpJjnOEbdqeI1",1.12298732479373,91792.5783658994,0.000126663499389868,0,13291.4179892007,74598.2934668871,230654.419421509,3.35076819957395e-05,7.29746849184837e-05,0.000158918715838348,0.000204163799047191
